SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000002865,0.058532768,0.465078638,0.445617643,0.019255318,0.011513397,8/18/2015,9/7/2017,124.2513889,0.165447921,373.7820513,0.001779913
11136000002898,0.001418782,0.033016463,0.537448525,0.093136786,0.334978575,,11/10/2016,319.3272222,#N/A,376.9230769,0.001791616
11136000002901,0.005021859,0.414312862,0.251189015,0.229998315,0.099478104,10/5/2016,10/3/2017,1795.428611,4.946084328,380.0641026,0.001802969
11136000002951,0.004984323,0.137673598,0.465260564,0.217212402,0.174868753,8/20/2015,8/7/2017,769.8583333,1.072226091,383.2051282,0.001813964
11136000002954,0.003121711,0.025257055,0.967735055,0.000439842,0.003447895,8/20/2015,12/28/2016,356.82,0.719395161,386.3461538,0.001824594
11136000002955,0.002933575,0.01913671,0.012351895,0.951355016,0.014223475,8/20/2015,11/10/2016,413.7916667,0.923642113,389.4871795,0.001834851
11136000002956,0.001616119,0.970219464,0.017357735,0,0.010804463,8/20/2015,7/5/2016,125.1283333,0.391026042,392.6282051,0.001844729
11136000002963,0.000953106,0.982473752,0.011630902,2.81984E-06,0.00493848,8/20/2015,2/12/2018,295.525,0.325826902,395.7692308,0.00185422
11136000002969,0.065965616,0.286114613,0.575200766,0.007651364,0.065067032,8/20/2015,12/14/2016,456.2730556,0.946624597,398.9102564,0.001863319
11136000002979,0.000400076,0.050893791,0.534417629,0.363229759,0.051058335,8/21/2015,12/16/2016,676.9544444,1.401561997,402.0512821,0.001872018
11136000002982,0.001718675,0.582166332,0.40410313,2.35758E-06,0.012011863,,10/24/2016,117.8233333,#N/A,405.1923077,0.001880312
11136000002999,0.000540184,0.063780246,0.815744719,0.092450786,0.027485549,8/21/2015,12/19/2016,374.3583333,0.770284636,408.3333333,0.001888196
11136000003019,0.007288332,0.940487426,0.034312256,0.003816875,0.014097142,8/21/2015,9/8/2016,273.4202778,0.712031973,411.474359,0.001895664
11136000003022,0.00807325,0.145906655,0.583103368,0.233418469,0.02949961,,12/23/2016,205.4452778,#N/A,414.6153846,0.00190271
11136000003030,0.00113468,0.003330671,0.003578817,0.258991658,0.732964014,8/21/2015,9/20/2017,1733.968333,2.278539203,417.7564103,0.001909329
11136000003035,0.001162098,0.004587583,0.95042918,0.001110299,0.04271009,8/22/2015,7/28/2016,370.0205556,1.085104268,420.8974359,0.001915518
11136000003044,0.027257092,0.450471823,0.181532914,0.127776814,0.212957585,,11/18/2016,73.65055556,#N/A,424.0384615,0.001921271
11136000003046,0.006656444,0.058960685,0.903119056,0.017309281,0.013952008,8/22/2015,2/22/2018,109.9602778,0.120175167,427.1794872,0.001926585
11136000003049,0.000216331,0.099770367,0.868606883,0.026819422,0.004587294,8/22/2015,10/5/2017,933.4963889,1.20451147,430.3205128,0.001931456
